"subject" "Activity_Label" "variable" "value"
2 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagMean" 0.293424826591489
2 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagStdDev" -0.0214787881723404
2 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagMean" 0.222247409576596
2 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagStdDev" 0.227480732542553
2 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagMean" -0.320838543553191
2 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagStdDev" -0.372576755361702
2 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.380175306489362
2 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.343698985425532
2 "WALKING_UPSTAIRS" "FrequencyBodyAccMagMean" -0.14531853915625
2 "WALKING_UPSTAIRS" "FrequencyBodyAccMagStdDev" -0.36672824375
2 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagMean" -0.189511136902083
2 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.2604238389625
2 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagMean" -0.450612184791667
2 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagStdDev" -0.438620401875
2 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.60079849625
2 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.621820202916667
3 "LAYING" "FrequencyBodyAccMagMean" -0.96552427516129
3 "LAYING" "FrequencyBodyAccMagStdDev" -0.968350217419355
3 "LAYING" "FrequencyBodyAccJerkMagMean" -0.975949597903226
3 "LAYING" "FrequencyBodyAccJerkMagStdDev" -0.975305377903226
3 "LAYING" "FrequencyBodyGyroMagMean" -0.96458672483871
3 "LAYING" "FrequencyBodyGyroMagStdDev" -0.955441855806452
3 "LAYING" "FrequencyBodyGyroJerkMagMean" -0.984278251290323
3 "LAYING" "FrequencyBodyGyroJerkMagStdDev" -0.982568158064516
3 "SITTING" "FrequencyBodyAccMagMean" -0.904185725576923
3 "SITTING" "FrequencyBodyAccMagStdDev" -0.874626592115385
3 "SITTING" "FrequencyBodyAccJerkMagMean" -0.965888891730769
3 "SITTING" "FrequencyBodyAccJerkMagStdDev" -0.966568852884615
3 "SITTING" "FrequencyBodyGyroMagMean" -0.946664943653846
3 "SITTING" "FrequencyBodyGyroMagStdDev" -0.925449629
3 "SITTING" "FrequencyBodyGyroJerkMagMean" -0.977898105576923
3 "SITTING" "FrequencyBodyGyroJerkMagStdDev" -0.976689802692308
3 "STANDING" "FrequencyBodyAccMagMean" -0.926968932295082
3 "STANDING" "FrequencyBodyAccMagStdDev" -0.921836076557377
3 "STANDING" "FrequencyBodyAccJerkMagMean" -0.948627467704918
3 "STANDING" "FrequencyBodyAccJerkMagStdDev" -0.94820681442623
3 "STANDING" "FrequencyBodyGyroMagMean" -0.913682362622951
3 "STANDING" "FrequencyBodyGyroMagStdDev" -0.883439718032787
3 "STANDING" "FrequencyBodyGyroJerkMagMean" -0.960331717868852
3 "STANDING" "FrequencyBodyGyroJerkMagStdDev" -0.957121510491803
3 "WALKING" "FrequencyBodyAccMagMean" -0.290031535172414
3 "WALKING" "FrequencyBodyAccMagStdDev" -0.456373080862069
3 "WALKING" "FrequencyBodyAccJerkMagMean" -0.186764516965517
3 "WALKING" "FrequencyBodyAccJerkMagStdDev" -0.0898519904044828
3 "WALKING" "FrequencyBodyGyroMagMean" -0.569755772241379
3 "WALKING" "FrequencyBodyGyroMagStdDev" -0.632643292931034
3 "WALKING" "FrequencyBodyGyroJerkMagMean" -0.607751646034483
3 "WALKING" "FrequencyBodyGyroJerkMagStdDev" -0.549087007931034
3 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagMean" 0.0289413195612245
3 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagStdDev" -0.233849422120408
3 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagMean" -0.049477977322449
3 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.159102288018367
3 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagMean" -0.332376629371429
3 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagStdDev" -0.322440827020408
3 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.576277199387755
3 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.624910820612245
3 "WALKING_UPSTAIRS" "FrequencyBodyAccMagMean" -0.315866079491525
3 "WALKING_UPSTAIRS" "FrequencyBodyAccMagStdDev" -0.447994369152542
3 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagMean" -0.412920898474576
3 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.48060920220339
3 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagMean" -0.514211583728814
3 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagStdDev" -0.445181802430508
3 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.716877778644068
3 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.740033436271186
4 "LAYING" "FrequencyBodyAccMagMean" -0.939389701296296
4 "LAYING" "FrequencyBodyAccMagStdDev" -0.937187975962963
4 "LAYING" "FrequencyBodyAccJerkMagMean" -0.96228712537037
4 "LAYING" "FrequencyBodyAccJerkMagStdDev" -0.958037119259259
4 "LAYING" "FrequencyBodyGyroMagMean" -0.961556660185185
4 "LAYING" "FrequencyBodyGyroMagStdDev" -0.947100325185185
4 "LAYING" "FrequencyBodyGyroJerkMagMean" -0.983609073333333
4 "LAYING" "FrequencyBodyGyroJerkMagStdDev" -0.982543631666667
4 "SITTING" "FrequencyBodyAccMagMean" -0.929002095
4 "SITTING" "FrequencyBodyAccMagStdDev" -0.9198157096
4 "SITTING" "FrequencyBodyAccJerkMagMean" -0.9625007338
4 "SITTING" "FrequencyBodyAccJerkMagStdDev" -0.9615845194
4 "SITTING" "FrequencyBodyGyroMagMean" -0.9487697524
4 "SITTING" "FrequencyBodyGyroMagStdDev" -0.9288505544
4 "SITTING" "FrequencyBodyGyroJerkMagMean" -0.9765477634
4 "SITTING" "FrequencyBodyGyroJerkMagStdDev" -0.9762617538
4 "STANDING" "FrequencyBodyAccMagMean" -0.917614014821429
4 "STANDING" "FrequencyBodyAccMagStdDev" -0.895340042142857
4 "STANDING" "FrequencyBodyAccJerkMagMean" -0.956139283571429
4 "STANDING" "FrequencyBodyAccJerkMagStdDev" -0.96003249875
4 "STANDING" "FrequencyBodyGyroMagMean" -0.914209165714286
4 "STANDING" "FrequencyBodyGyroMagStdDev" -0.887194404285714
4 "STANDING" "FrequencyBodyGyroJerkMagMean" -0.964471139464286
4 "STANDING" "FrequencyBodyGyroJerkMagStdDev" -0.9664302175
4 "WALKING" "FrequencyBodyAccMagMean" -0.450804558333333
4 "WALKING" "FrequencyBodyAccMagStdDev" -0.651172628166667
4 "WALKING" "FrequencyBodyAccJerkMagMean" -0.318587811
4 "WALKING" "FrequencyBodyAccJerkMagStdDev" -0.320458701
4 "WALKING" "FrequencyBodyGyroMagMean" -0.609285588016667
4 "WALKING" "FrequencyBodyGyroMagStdDev" -0.593937200833333
4 "WALKING" "FrequencyBodyGyroJerkMagMean" -0.724327420666667
4 "WALKING" "FrequencyBodyGyroJerkMagStdDev" -0.757768081166667
4 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagMean" -0.01907433524
4 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagStdDev" -0.263644030288889
4 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagMean" -0.175295286557778
4 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.280426776955556
4 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagMean" -0.429213369555556
4 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagStdDev" -0.457674088
4 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.621752455777778
4 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.685470931777778
4 "WALKING_UPSTAIRS" "FrequencyBodyAccMagMean" -0.276825498230769
4 "WALKING_UPSTAIRS" "FrequencyBodyAccMagStdDev" -0.301005898461538
4 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagMean" -0.397406285
4 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.497324087307692
4 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagMean" -0.575794072115385
4 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagStdDev" -0.552489628846154
4 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.740749226346154
4 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.794209483076923
5 "LAYING" "FrequencyBodyAccMagMean" -0.962234984038462
5 "LAYING" "FrequencyBodyAccMagStdDev" -0.962525369423077
5 "LAYING" "FrequencyBodyAccJerkMagMean" -0.977356379807692
5 "LAYING" "FrequencyBodyAccJerkMagStdDev" -0.976381934807692
5 "LAYING" "FrequencyBodyGyroMagMean" -0.968257068846154
5 "LAYING" "FrequencyBodyGyroMagStdDev" -0.959263063269231
5 "LAYING" "FrequencyBodyGyroJerkMagMean" -0.984618025769231
5 "LAYING" "FrequencyBodyGyroJerkMagStdDev" -0.983434493076923
5 "SITTING" "FrequencyBodyAccMagMean" -0.936290604545455
5 "SITTING" "FrequencyBodyAccMagStdDev" -0.925669291136364
5 "SITTING" "FrequencyBodyAccJerkMagMean" -0.964440302272727
5 "SITTING" "FrequencyBodyAccJerkMagStdDev" -0.966545323409091
5 "SITTING" "FrequencyBodyGyroMagMean" -0.944760322045455
5 "SITTING" "FrequencyBodyGyroMagStdDev" -0.934746865454545
5 "SITTING" "FrequencyBodyGyroJerkMagMean" -0.971598370227273
5 "SITTING" "FrequencyBodyGyroJerkMagStdDev" -0.970675403409091
5 "STANDING" "FrequencyBodyAccMagMean" -0.9046413925
5 "STANDING" "FrequencyBodyAccMagStdDev" -0.886745170714286
5 "STANDING" "FrequencyBodyAccJerkMagMean" -0.941825903035714
5 "STANDING" "FrequencyBodyAccJerkMagStdDev" -0.943601960178571
5 "STANDING" "FrequencyBodyGyroMagMean" -0.904543921607143
5 "STANDING" "FrequencyBodyGyroMagStdDev" -0.868913993928571
5 "STANDING" "FrequencyBodyGyroJerkMagMean" -0.952286438035714
5 "STANDING" "FrequencyBodyGyroJerkMagStdDev" -0.946196462857143
5 "WALKING" "FrequencyBodyAccMagMean" -0.304992488892857
5 "WALKING" "FrequencyBodyAccMagStdDev" -0.519636926071429
5 "WALKING" "FrequencyBodyAccJerkMagMean" -0.269481661080357
5 "WALKING" "FrequencyBodyAccJerkMagStdDev" -0.305685376071429
5 "WALKING" "FrequencyBodyGyroMagMean" -0.484262828928571
5 "WALKING" "FrequencyBodyGyroMagStdDev" -0.589741506785714
5 "WALKING" "FrequencyBodyGyroJerkMagMean" -0.548053574821429
5 "WALKING" "FrequencyBodyGyroJerkMagStdDev" -0.455665300892857
5 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagMean" 0.155742168808511
5 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagStdDev" 0.0428533623276596
5 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagMean" 0.00918394264170213
5 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.089735699787234
5 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagMean" -0.349338414731915
5 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagStdDev" -0.484141274255319
5 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.453697247021277
5 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.487128422553191
5 "WALKING_UPSTAIRS" "FrequencyBodyAccMagMean" -0.169261525
5 "WALKING_UPSTAIRS" "FrequencyBodyAccMagStdDev" -0.254091927148936
5 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagMean" -0.264674938957447
5 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.378616675957447
5 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagMean" -0.392564530851064
5 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagStdDev" -0.440445051914894
5 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.571344138723404
5 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.572485019787234
6 "LAYING" "FrequencyBodyAccMagMean" -0.91235165222807
6 "LAYING" "FrequencyBodyAccMagStdDev" -0.905373979824561
6 "LAYING" "FrequencyBodyAccJerkMagMean" -0.948655471052632
6 "LAYING" "FrequencyBodyAccJerkMagStdDev" -0.951552664035088
6 "LAYING" "FrequencyBodyGyroMagMean" -0.930153639473684
6 "LAYING" "FrequencyBodyGyroMagStdDev" -0.928694890175439
6 "LAYING" "FrequencyBodyGyroJerkMagMean" -0.953695957368421
6 "LAYING" "FrequencyBodyGyroJerkMagStdDev" -0.955504654561404
6 "SITTING" "FrequencyBodyAccMagMean" -0.935750391272727
6 "SITTING" "FrequencyBodyAccMagStdDev" -0.939547202909091
6 "SITTING" "FrequencyBodyAccJerkMagMean" -0.948348653636364
6 "SITTING" "FrequencyBodyAccJerkMagStdDev" -0.947304700363636
6 "SITTING" "FrequencyBodyGyroMagMean" -0.929725679272727
6 "SITTING" "FrequencyBodyGyroMagStdDev" -0.929549141636364
6 "SITTING" "FrequencyBodyGyroJerkMagMean" -0.952034566
6 "SITTING" "FrequencyBodyGyroJerkMagStdDev" -0.951196693454545
6 "STANDING" "FrequencyBodyAccMagMean" -0.945949804035088
6 "STANDING" "FrequencyBodyAccMagStdDev" -0.94456410754386
6 "STANDING" "FrequencyBodyAccJerkMagMean" -0.955914005438597
6 "STANDING" "FrequencyBodyAccJerkMagStdDev" -0.95538157877193
6 "STANDING" "FrequencyBodyGyroMagMean" -0.926664297017544
6 "STANDING" "FrequencyBodyGyroMagStdDev" -0.923108761578947
6 "STANDING" "FrequencyBodyGyroJerkMagMean" -0.955425138245614
6 "STANDING" "FrequencyBodyGyroJerkMagStdDev" -0.952088499473684
6 "WALKING" "FrequencyBodyAccMagMean" -0.201386607649123
6 "WALKING" "FrequencyBodyAccMagStdDev" -0.421683093508772
6 "WALKING" "FrequencyBodyAccJerkMagMean" -0.055401423331579
6 "WALKING" "FrequencyBodyAccJerkMagStdDev" -0.0964999702982456
6 "WALKING" "FrequencyBodyGyroMagMean" -0.329681123368421
6 "WALKING" "FrequencyBodyGyroMagStdDev" -0.510648322631579
6 "WALKING" "FrequencyBodyGyroJerkMagMean" -0.366500534122807
6 "WALKING" "FrequencyBodyGyroJerkMagStdDev" -0.408078906482456
6 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagMean" 0.395958034583333
6 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagStdDev" 0.1446227570625
6 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagMean" 0.243834258785417
6 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagStdDev" 0.15480886140625
6 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagMean" -0.0143735434
6 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagStdDev" -0.242353857320833
6 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.132705384364583
6 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.145733545496458
6 "WALKING_UPSTAIRS" "FrequencyBodyAccMagMean" -0.0819479396203922
6 "WALKING_UPSTAIRS" "FrequencyBodyAccMagStdDev" -0.222161433666667
6 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagMean" -0.169868234496078
6 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.177734840922353
6 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagMean" -0.230627015078431
6 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagStdDev" -0.318173892545098
6 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.45923633377451
6 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.455937719019608
7 "LAYING" "FrequencyBodyAccMagMean" -0.927976880634615
7 "LAYING" "FrequencyBodyAccMagStdDev" -0.910542462919231
7 "LAYING" "FrequencyBodyAccJerkMagMean" -0.968066259230769
7 "LAYING" "FrequencyBodyAccJerkMagStdDev" -0.965359228076923
7 "LAYING" "FrequencyBodyGyroMagMean" -0.941130719230769
7 "LAYING" "FrequencyBodyGyroMagStdDev" -0.918892518653846
7 "LAYING" "FrequencyBodyGyroJerkMagMean" -0.974117912115385
7 "LAYING" "FrequencyBodyGyroJerkMagStdDev" -0.969403035384615
7 "SITTING" "FrequencyBodyAccMagMean" -0.90895677625
7 "SITTING" "FrequencyBodyAccMagStdDev" -0.88691563825
7 "SITTING" "FrequencyBodyAccJerkMagMean" -0.970954184166667
7 "SITTING" "FrequencyBodyAccJerkMagStdDev" -0.9684948675
7 "SITTING" "FrequencyBodyGyroMagMean" -0.933081955208333
7 "SITTING" "FrequencyBodyGyroMagStdDev" -0.895804978125
7 "SITTING" "FrequencyBodyGyroJerkMagMean" -0.978634991458333
7 "SITTING" "FrequencyBodyGyroJerkMagStdDev" -0.97496593875
7 "STANDING" "FrequencyBodyAccMagMean" -0.945611450377358
7 "STANDING" "FrequencyBodyAccMagStdDev" -0.93728796509434
7 "STANDING" "FrequencyBodyAccJerkMagMean" -0.967417888301887
7 "STANDING" "FrequencyBodyAccJerkMagStdDev" -0.969092161886792
7 "STANDING" "FrequencyBodyGyroMagMean" -0.93870498490566
7 "STANDING" "FrequencyBodyGyroMagStdDev" -0.919848139056604
7 "STANDING" "FrequencyBodyGyroJerkMagMean" -0.973671168679245
7 "STANDING" "FrequencyBodyGyroJerkMagStdDev" -0.971899418301887
7 "WALKING" "FrequencyBodyAccMagMean" -0.151243649578947
7 "WALKING" "FrequencyBodyAccMagStdDev" -0.351706780526316
7 "WALKING" "FrequencyBodyAccJerkMagMean" -0.0384187298547368
7 "WALKING" "FrequencyBodyAccJerkMagStdDev" -0.022138358
7 "WALKING" "FrequencyBodyGyroMagMean" -0.192909765467895
7 "WALKING" "FrequencyBodyGyroMagStdDev" -0.343894914947368
7 "WALKING" "FrequencyBodyGyroJerkMagMean" -0.155339855862632
7 "WALKING" "FrequencyBodyGyroJerkMagStdDev" -0.0841663774087719
7 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagMean" 0.218911066191489
7 "WALKING_DOWNSTAIRS" "FrequencyBodyAccMagStdDev" 0.0214440976893617
7 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagMean" 0.067389886106383
7 "WALKING_DOWNSTAIRS" "FrequencyBodyAccJerkMagStdDev" 0.107856840302128
7 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagMean" -0.255045057404255
7 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroMagStdDev" -0.396909651702128
7 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.289096677191489
7 "WALKING_DOWNSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.353544695678723
7 "WALKING_UPSTAIRS" "FrequencyBodyAccMagMean" -0.378618761568627
7 "WALKING_UPSTAIRS" "FrequencyBodyAccMagStdDev" -0.415307106666667
7 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagMean" -0.45478324745098
7 "WALKING_UPSTAIRS" "FrequencyBodyAccJerkMagStdDev" -0.497441363137255
7 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagMean" -0.533982945882353
7 "WALKING_UPSTAIRS" "FrequencyBodyGyroMagStdDev" -0.444994481882353
7 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagMean" -0.673327281960784
7 "WALKING_UPSTAIRS" "FrequencyBodyGyroJerkMagStdDev" -0.704090967843137
8 "LAYING" "FrequencyBodyAccMagMean" -0.932279645518518
8 "LAYING" "FrequencyBodyAccMagStdDev" -0.917257979425926
8 "LAYING" "FrequencyBodyAccJerkMagMean" -0.961792852407407
8 "LAYING" "FrequencyBodyAccJerkMagStdDev" -0.963791094259259
8 "LAYING" "FrequencyBodyGyroMagMean" -0.944528950555556
8 "LAYING" "FrequencyBodyGyroMagStdDev" -0.93678697
8 "LAYING" "FrequencyBodyGyroJerkMagMean" -0.968403945925926
8 "LAYING" "FrequencyBodyGyroJerkMagStdDev" -0.971793279814815
8 "SITTING" "FrequencyBodyAccMagMean" -0.947981783478261
8 "SITTING" "FrequencyBodyAccMagStdDev" -0.93172124
8 "SITTING" "FrequencyBodyAccJerkMagMean" -0.980932292391304
8 "SITTING" "FrequencyBodyAccJerkMagStdDev" -0.97932021173913
8 "SITTING" "FrequencyBodyGyroMagMean" -0.965806789347826
8 "SITTING" "FrequencyBodyGyroMagStdDev" -0.953251156521739
8 "SITTING" "FrequencyBodyGyroJerkMagMean" -0.987730604130435
8 "SITTING" "FrequencyBodyGyroJerkMagStdDev" -0.986147262608696
8 "STANDING" "FrequencyBodyAccMagMean" -0.953746070740741
8 "STANDING" "FrequencyBodyAccMagStdDev" -0.938628186322222
8 "STANDING" "FrequencyBodyAccJerkMagMean" -0.979745872037037
8 "STANDING" "FrequencyBodyAccJerkMagStdDev" -0.979135440925926
8 "STANDING" "FrequencyBodyGyroMagMean" -0.964564224074074
